,Statistiky přihlášování 2018,Statistiky přihlášování 2018,Statistiky přihlášování 2018,Vyhledávání 2018,Vyhledávání 2018,Vyhledávání 2018,Přístupy 2018,Přístupy 2018,Přístupy 2018
Měsíc,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše,V knihovně,Mimo knihovnu,Vše
Leden,467,2718,3185,99,847,946,0,405,405
Únor,364,2276,2640,109,731,840,0,333,333
Březen,569,2767,3336,138,827,965,0,346,346
Duben,382,1654,2036,115,630,745,0,272,272
Květen,460,2014,2474,119,654,773,0,293,293
Červen,465,2191,2656,116,689,805,0,319,319
Červenec,313,1952,2265,118,713,831,0,333,333
Srpen,258,2206,2464,71,827,898,2,319,321
Září,218,2206,2424,58,821,879,3,328,331
Říjen,372,2191,2563,99,907,1006,4,358,362
Listopad,282,2290,2572,77,847,924,3,323,326
Prosinec,117,1320,1437,46,650,696,5,205,210
Souhrnně celkem,4267,25785,30052,1165,9143,10308,17,3834,3851
